word,pos,Freq
empty,jj,200
surface,nn1,200
goals,nn2,200
St.,np1,200
significantly,rr,200
walking,vvg,200
written,vvn,200
complex,jj,199
goal,nn1,199
gun,nn1,199
houses,nn2,199
terms,nn2,199
Jones,np1,199
ahead,rl,199
as,cs21,198
technical,jj,198
baseball,nn1,198
cities,nn2,198
weeks,nnt2,198
lost,vvd,198
move,vvi,198
piece,nn1,197
smile,nn1,197
provide,vv0,197
attack,nn1,196
metal,nn1,196
step,nn1,196
wind,nn1,196
relationships,nn2,196
quiet,jj,195
urban,jj,195
audience,nn1,195
memory,nn1,195
newspaper,nn1,195
officer,nn1,195
Chicago,np1,195
From,ii,194
multiple,jj,194
soft,jj,194
network,nn1,194
thought,nn1,194
figures,nn2,194
reasons,nn2,194
until,ii,193
unique,jj,193
authority,nn1,193
camera,nn1,193
reading,nn1,193
artists,nn2,193
department,nn1,192
list,nn1,192
task,nn1,192
legs,nn2,192
earlier,rrr,192
keep,vv0,192
Soviet,jj,191
strange,jj,191
card,nn1,191
traffic,nn1,191
opportunities,nn2,191
parties,nn2,191
scores,nn2,191
totally,rr,191
asking,vvg,191
starts,vvz,191
familiar,jj,190
Other,jj,190
North,nd1,190
assessment,nn1,190
committee,nn1,190
husband,nn1,190
product,nn1,190
Research,nn1,190
sport,nn1,190
spot,nn1,190
sun,nn1,190
clothes,nn2,190
practices,nn2,190
evening,nnt1,190
Israel,np1,190
held,vvd,190
set,vvn,190
musical,jj,189
deal,nn1,189
discussion,nn1,189
property,nn1,189
agencies,nn2,189
pictures,nn2,189
Florida,np1,189
straight,rr,189
bring,vvi,189
heard,vvn,189
to,ii33,188
dangerous,jj,188
wonderful,jj,188
legislation,nn1,188
region,nn1,188
source,nn1,188
subject,nn1,188
dollars,nnu2,188
stay,vvi,188
that,cs22,187
bright,jj,187
artist,nn1,187
call,nn1,187
coffee,nn1,187
flight,nn1,187
university,nn1,187
apparently,rr,187
start,vv0,187
moved,vvd,187
sat,vvd,187
leaving,vvg,187
standing,vvg,187
run,vvi,187
brown,jj,186
industrial,jj,186
fuel,nn1,186
set,nn1,186
mostly,rr,186
changed,vvn,186
Big,jj,185
Catholic,jj,185
doctor,nn1,185
mission,nn1,185
station,nn1,185
courses,nn2,185
features,nn2,185
hour,nnt1,185
largely,rr,185
English,jj,184
army,nn1,184
brain,nn1,184
firm,nn1,184
names,nn2,184
needs,nn2,184
yesterday,rt,184
received,vvd,184
wearing,vvg,184
civil,jj,183
initial,jj,183
past,jj,183
chair,nn1,183
literature,nn1,183
machine,nn1,183
reality,nn1,183
spring,nn1,183
fans,nn2,183
interests,nn2,183
thus,rr,183
tomorrow,rt,183
like,vv0,183
buy,vvi,183
requires,vvz,183
garden,nn1,182
gold,nn1,182
responsibility,nn1,182
term,nn1,182
lights,nn2,182
markets,nn2,182
happened,vvd,182
separate,jj,181
statement,nn1,181
weather,nn1,181
writer,nn1,181
pieces,nn2,181
little,rr,181
hit,vvd,181
used,vvd,181
worked,vvd,181
holding,vvg,181
providing,vvg,181
sitting,vvg,181
includes,vvz,181
formal,jj,180
younger,jjr,180
First,md,180
interview,nn1,180
nation,nn1,180
citizens,nn2,180
losing,vvg,180
gray,jj,179
conflict,nn1,179
letter,nn1,179
survey,nn1,179
vote,nn1,179
subjects,nn2,179
Atlanta,np1,179
ourselves,ppx2,179
telling,vvg,179
thin,jj,178
ten,m,178
daughter,nn1,178
investigation,nn1,178
speed,nn1,178
stress,nn1,178
firms,nn2,178
letters,nn2,178
outside,rl,178
Then,rt,178
selling,vvg,178
writing,vvg,178
hear,vvi,178
Its,appge,177
ethnic,jj,177
limited,jj,177
present,jj,177
terrible,jj,177
series,nn,177
competition,nn1,177
conference,nn1,177
spending,nn1,177
strength,nn1,177
unit,nn1,177
version,nn1,177
vision,nn1,177
cells,nn2,177
give,vv0,177
considered,vvn,177
moved,vvn,177
daily,jj,176
mental,jj,176
severe,jj,176
spiritual,jj,176
sweet,jj,176
South,nd1,176
aid,nn1,176
difference,nn1,176
foot,nn1,176
minority,nn1,176
plane,nn1,176
sea,nn1,176
wood,nn1,176
methods,nn2,176
patterns,nn2,176
positions,nn2,176
strategies,nn2,176
rather,rg,176
fairly,rr,176
actual,jj,175
famous,jj,175
living,jj,175
yellow,jj,175
latest,jjt,175
amount,nn1,175
candidate,nn1,175
damage,nn1,175
identity,nn1,175
Steve,np1,175
played,vvd,175
spoke,vvd,175
stopped,vvd,175
eating,vvg,175
gotten,vvn,175
so,cs21,174
bag,nn1,174
cell,nn1,174
district,nn1,174
section,nn1,174
learning,vvg,174
ask,vvi,174
leave,vvi,174
like,vvi,174
put,vvi,174
gives,vvz,174
Israeli,jj,173
obvious,jj,173
practical,jj,173
battle,nn1,173
cash,nn1,173
range,nn1,173
deeply,rr,173
less,rrr,173
feels,vvz,173
club,nn1,172
factor,nn1,172
neighborhood,nn1,172
seat,nn1,172
suit,nn1,172
objects,nn2,172
E.,np1,172
apart,rl,172
AND,cc,171
At,ii,171
fundamental,jj,171
arm,nn1,171
conversation,nn1,171
fishing,nn1,171
M.,nn1,171
snow,nn1,171
meetings,nn2,171
needed,vvd,171
calling,vvg,171
putting,vvg,171
said,vvn,171
clean,jj,170
violent,jj,170
mountain,nn1,170
shot,nn1,170
Sunday,npd1,170
nobody,pn1,170
over,rg,170
somehow,rr,170
growing,vvg,170
speaking,vvg,170
meet,vvi,170
killed,vvn,170
solid,jj,169
wooden,jj,169
advice,nn1,169
camp,nn1,169
classroom,nn1,169
exercise,nn1,169
funding,nn1,169
Scott,np1,169
broad,jj,168
following,jj,168
likely,jj,168
condition,nn1,168
coverage,nn1,168
feeling,nn1,168
hotel,nn1,168
matter,nn1,168
painting,nn1,168
lawyers,nn2,168
movies,nn2,168
Henry,np1,168
heard,vvd,168
surgery,nn1,167
victory,nn1,167
youth,nn1,167
authorities,nn2,167
candidates,nn2,167
walls,nn2,167
ago,ra,167
somewhere,rl,167
hardly,rr,167
previously,rr,167
widely,rr,167
remember,vv0,167
Most,dat,166
contemporary,jj,166
background,nn1,166
couple,nn1,166
relief,nn1,166
one,pn122,166
fast,rr,166
live,vv0,166
waiting,vvg,166
win,vvi,166
begins,vvz,166
creative,jj,165
north,nd1,165
example,nn1,165
lead,nn1,165
understanding,nn1,165
Chris,np1,165
Martin,np1,165
twice,rr,165
call,vv0,165
appeared,vvd,165
walked,vvd,165
won,vvd,165
paying,vvg,165
spending,vvg,165
teaching,vvg,165
